a;een;;;;;
ability;vermogen;;;;;
accent;accent;;;;;
ace!;tof!;;;;;
activity;activiteit;;;;;
ago;geleden;;;;;
airport;vliegveld;;;;;
album;album;;;;;
alligator;alligator;;;;;
always;altijd;;;;;
america;amerika;;;;;
american;amerikaans;;;;;
an;een;;;;;
anniversary;gedenkdag;;;;;
annoyed;geïrriteerd;;;;;
annoying;vervelend;;;;;
answer;antwoorden;;;;;
any;wat;;;;;
apple;appel;;;;;
april;april;;;;;
argentina;argentinië;;;;;
argentinian;argentijns;;;;;
argentinian;argentijn(se);;;;;
armchair;leunstoel;;;;;
art;kunst;;;;;
assembly;samenkomst;;;;;
athlete;atleet;;;;;
athletics;atletiek;;;;;
attack;aanvallen;;;;;
attractive;aantrekkelijk;;;;;
audition;auditie;;;;;
august;augustus;;;;;
aunt;tante;;;;;
autumn;herfst;;;;;
avalanche;lawine;;;;;
awake;wakker;;;;;
awful;vreselijk;;;;;
backpack;rugzak;;;;;
ballet;ballet;;;;;
ban;verbieden;;;;;
banana;banaan;;;;;
basketball;basketbal;;;;;
bath;bad;;;;;
beat;verslaan;;;;;
bed;bed;;;;;
beef;rund;;;;;
begin;beginnen;;;;;
behind;achter;;;;;
belgian;belgisch;;;;;
belgian;belg;;;;;
belgium;belgië;;;;;
believe;geloven;;;;;
best;best;;;;;
better;beter;;;;;
between;tussen;;;;;
bicycle;fiets;;;;;
big;groot;;;;;
bill;rekening;;;;;
biology;biologie;;;;;
birthday;verjaardag;;;;;
bite;bijten;;;;;
book;boek;;;;;
bookshop;boekenwinkel;;;;;
bored;vervelen;;;;;
boring;saai;;;;;
bow;buigen;;;;;
brave;dapper;;;;;
brazil;brazilië;;;;;
brazilian;braziliaans;;;;;
brazilian;braziliaan(se);;;;;
bread;brood;;;;;
break;pauze;;;;;
break;breken;;;;;
breakfast;ontbijt;;;;;
brilliant;fantastisch;;;;;
britain;groot-brittannië;;;;;
british;brits;;;;;
british;britten;;;;;
brother;broer;;;;;
burn;branden;;;;;
buy;kopen;;;;;
café;café;;;;;
call;bellen;;;;;
calm;kalm;;;;;
calorie;calorie;;;;;
camping;kamperen;;;;;
campsite;camping;;;;;
canada;canada;;;;;
canadian;canadees;;;;;
canadian;canadees;;;;;
canoeing;kanoën;;;;;
car;auto;;;;;
carefully;voorzichtig;;;;;
carrot;wortel;;;;;
celebrate;vieren;;;;;
cereal;ontbijtgranen;;;;;
chair;stoel;;;;;
change;veranderen;;;;;
charity;liefdadigheid;;;;;
cheerful;vrolijk;;;;;
chicken;kip;;;;;
chicken;kip;;;;;
child;kind;;;;;
children;kinderen;;;;;
china;china;;;;;
chinese;chinees;;;;;
chinese;chinezen;;;;;
choose;kiezen;;;;;
cinema;bioscoop;;;;;
clean;schoonmaken;;;;;
climber;bergbeklimmer;;;;;
close;sluiten;;;;;
cloudy;bewolkt;;;;;
coach;bus;;;;;
coast;kust;;;;;
collapse;instorten;;;;;
collect;verzamelen;;;;;
collection;verzameling;;;;;
communicate;communiceren;;;;;
company;bedrijf;;;;;
complain;klagen;;;;;
computer;computer;;;;;
conservation;bescherming;;;;;
contest;wedstrijd;;;;;
contestant;deelnemer;;;;;
continue;voortzetten;;;;;
conversation;gesprek;;;;;
cook;koken;;;;;
cooker;fornuis;;;;;
cool!;cool!;;;;;
correct;juist;;;;;
course;cursus;;;;;
cow;koe;;;;;
crash;botsen;;;;;
create;creëren;;;;;
criticise;bekritiseren;;;;;
cry;huilen;;;;;
cupboard;kast;;;;;
curry;kerrieschotel;;;;;
custom;gewoonte;;;;;
cycling;fietsen;;;;;
dance;dansen;;;;;
danger;gevaar;;;;;
dangerous;gevaarlijk;;;;;
day;dag;;;;;
daydream;dagdromen;;;;;
