king, koning
queen, koningin 
: family
man, man 
woman, vrouw
nephew, neef 
niece, nicht
policeman, politieman 
policewoman, politievrouw
prince, prins
princess, princes
son, zoon 
daughter, dochter
sons, zoons 
daughters, dochters
stepbrother, stiefbroer 
stepsister, stiefzus
stepfather, stiefvader 
stepmother, stiefmoeder
stepson, stiefzon 
stepdaughter
uncle, oom 
aunt, tante 
boy, jongen
girl, meisje
brother, broer
sister, zus
brothers, broers 
sisters, zussen
dad, pap
mom, mam
father, vader 
mother, moeder
grandfather, grootvader 
grandmother, grootmoeder
grandpa, opa 
grandma, oma
grandson, kleinzoon 
granddaughter, kleindochter
groom, bruidegom 
bride, bruid
he, hij 
she, zij
his, hem 
her, haar
husband, man 
wife, vrouw
: gram3-comparative
hot, heet
hotter, heter  
large, groot 
larger, groter
long, lang 
longer, langer
loud, luid 
louder, luider
low, laag 
lower, lager
new, nieuw 
newer, nieuwer
old, oud 
older, ouder
quick, snel 
quicker, sneller 
safe, veilig 
safer, veiliger
sharp, scherp 
sharper, scherper
short, kort 
shorter, korter
simple, simper 
simpler, simpeler
slow , sloom
slower, slomer
small, klein 
smaller, kleiner
smart, slim 
smarter, slimmer
strong, sterk 
stronger, sterker
tall, lang 
taller, langer
tight, strak 
tighter, strakker
tough, taai
tougher, taaier
warm, warm 
warmer, warmer
weak, zwak 
weaker, zwakker
wide, breed 
wider, breder
young, jong 
younger, jonger
bad, slecht 
worse, slechter
big, groot 
bigger, groter
bright, helder
brighter, helderder
cheap, goedkoop 
cheaper, goedkoper
cold, koud 
colder, kouder
cool, cool 
cooler, cooler
deep, diep 
deeper, dieper
easy, makkelijk 
easier, makkelijker
fast, snel 
faster, sneller
good, goed 
better, beter
great, groot 
greater, groter
hard, hard 
harder, harder
heavy, zwaar 
heavier, zwaarder
high, hoog 
higher, hoger
: gram4-superlative
worst, slechtst
biggest, grootste
brightest, helderste
coldest, koudste
coolest, coolste
darkest, donkerste
easiest, makkelijkste
fastest, snelste
best, beste
greatest, grootste
highest, hoogste
hottest, heetste
largest, grootste
longest, langste
lowest, laagste
luckiest, gelukkigste
oldest, oudste
quickest, snelste
sharpest, scherpste
simplest, simpelste
shortest, kortste
slowest, langzaamste
smallest, kleinste
smartest, slimste
strangest, vreemdste
strongest, sterkste
sweetest, zoetste
tallest, langste
tastiest, lekkerste
warmest, heetste
weakest, zwakste
weirdest, vreemdste
widest, breedste
youngest, jongst
: gram8-plural
pig, varken
pigs, vakens  
pineapple, ananas 
pineapples, ananassen
rat, rat
rats, ratten
road, weg 
roads, wegen
snake, slang 
snakes, slangen
woman, vrouw 
women, vrouwen
banana, banaan 
bananas, bananen
bird, vogel 
birds, vogels
bottle, fles 
bottles, flessen
building, gebouw 
buildings, gebouwen
car, auto 
cars, autos
cat, kat 
cats, katten
